Row # (not a code)	UCUM_CODE	Description of the Unit (using UCUM descriptions where they exist)	Comment
738	%{inhibition}	percent inhibition
739	%{loss}	percent loss
740	%{lysis}	percent lysis
741	%{normal}	percent normal
742	%{pooled_plasma}	percent normal pooled plasma
743	%{bacteria}	percent of bacteria
744	%{baseline}	percent of baseline
745	%{cells}	percent of cells
746	%{RBCs}	percent of red blood cells
747	%{WBCs}	percent of white blood cells
748	%{positive}	percent positive
749	%{reactive}	percent reactive
750	%{recovery}	percent recovery
751	%{reference}	percent reference
752	%{residual}	percent residual
753	%{response}	percent response
754	%{saturation}	percent saturation
755	%{total}	percent total
756	%{uptake}	percent uptake
757	%{viable}	percent viable
758	{percentile}	percentile
759	[pH]	pH
760	{phenotype}	phenotype
761	pA	picoampere
762	pg	picogram
763	pg/{cell}	picogram per cell
764	pg/dL	picogram per deciliter
765	pg/L	picogram per liter
766	pg/mg	picogram per milligram
767	pg/mg{creat}	picogram per milligram of creatinine
768	pg/mL	picogram per milliliter
769	pg/mL{sLT}	picogram per milliliter sulfidoleukotrienes
770	pg/mm	picogram per millimeter
771	pg/{RBC}	picogram per red blood cell
772	pkat	picokatal
773	pL	picoliter
774	pm	picometer
775	pmol	picomole
776	pmol/(24.h)	picomole per 24 hour
777	pmol/d	picomole per day
778	pmol/dL	picomole per deciliter
779	pmol/g	picomole per gram
780	pmol/h/mg{prot}	picomole per hour per milligram of protein
781	pmol/H/mg{protein}	picomole per hour per milligram protein
782	pmol/h/mL	picomole per hour per milliliter
783	pmol/L	picomole per liter
784	pmol/umol	picomole per micromole
785	pmol/umol{creat}	picomole per micromole of creatinine
786	pmol/mg{prot}	picomole per milligram of protein
787	pmol/mL	picomole per milliliter
788	pmol/mmol{creat}	picomole per millimole of creatinine
789	pmol/min	picomole per minute
790	pmol/min/mg{prot}	picomole per minute per milligram of protein
791	pmol/{RBC}	picomole per red blood cell
792	ps	picosecond
793	pT	picotesla
794	[pt_us]	pint (US)
795	[lb_av]	pound (US and British)
796	[psi]	pound per square inch
797	[qt_us]	quart (US)
798	{ratio}	ratio
799	{RBC}/uL	red blood cell per microliter
800	%{relative}	relative percent
801	{rel_saturation}	relative saturation
802	{risk}	risk
803	{Rubella_virus}	rubella virus
804	{saturation}	saturation
805	{score}	score
806	s	second
807	s/{control}	second per control
808	{shift}	shift
809	S	Siemens
810	Sv	Sievert
811	{s_co_ratio}	signal to cutoff ratio
812	{spermatozoa}/mL	spermatozoa per milliliter
813	cm2	square centimeter
814	cm2/s	square centimeter per second
815	dm2/s2	square decimeter per square second
816	[sft_i]	square foot (international)
817	[sin_i]	square inch (international)
818	m2	square meter
819	m2/s	square meter per second
820	mm2	square millimeter
821	[syd_i]	square yard (international)
822	{STDV}	standard deviation
823	{Tscore}	t score
824	[tbs_us]	tablespoon (US)
825	[tsp_us]	teaspoon (US)
826	T	Tesla
827	10*3	thousand
828	10*3{copies}/mL	thousand copies per milliliter
829	10*3/L	thousand per liter
830	10*3/uL	thousand per microliter
831	10*3/mL	thousand per milliliter
832	10*3{RBCs}	thousand red blood cells
833	{TSI_index}	thyroid-stimulating immunoglobulin index
834	{TmStp}	time stamp
835	{titer}	titer
836	[todd'U]	Todd unit
837	Torr	Torr 	Note:  1atm=760Torr=760mmHg=101kPa=101000Pa=14.7psi
838	10*12/L	trillion per liter
839	[oz_tr]	Troy ounce
840	[tb'U]	tuberculin unit
841	V	volt
842	Wb	Weber
843	wk	week
844	{WBCs}	white blood cells
845	[yd_i]	yard (international)
846	a	year
847	{yyyy}	year
848	{Zscore}	z score
